time,nb_dead_node,nb_package
1,0,100
101,0,100
201,0,100
301,0,100
401,0,100
501,0,100
601,0,100
701,0,100
801,0,100
901,0,100
1001,0,100
1101,0,100
1201,0,100
1301,0,100
1401,0,100
1501,0,100
1601,0,100
1701,0,100
1801,0,100
1901,0,100
2001,0,100
2101,0,100
2201,0,100
2301,0,100
2401,0,100
2501,0,100
2601,0,100
2701,0,100
2801,0,100
2901,0,100
3001,0,100
3101,0,100
3201,0,100
3301,0,100
3401,0,100
3501,0,100
3601,0,100
3701,0,100
3801,0,100
3901,0,100
4001,0,100
4101,0,100
4201,0,100
4301,0,100
4401,0,100
4501,0,100
4601,0,100
4701,0,100
4801,0,100
4901,0,100
5001,0,100
5101,0,100
5201,0,100
5301,0,100
5401,0,100
5501,0,100
5601,0,100
5701,0,100
5801,0,100
5901,0,100
6001,0,100
6101,0,100
6201,0,100
6301,0,100
6401,0,100
6501,0,100
6601,0,100
6701,0,100
6801,0,100
6901,0,100
7001,0,100
7101,0,100
7201,0,100
7301,0,100
7401,0,100
7501,0,100
7601,0,100
7701,0,100
7801,0,100
7901,0,100
8001,0,100
8101,0,100
8201,0,100
8301,0,100
8401,0,100
8501,0,100
8601,0,100
8701,0,100
8801,0,100
8901,0,100
9001,0,100
9101,0,100
9201,0,100
9301,0,100
9401,0,100
9501,0,100
9601,0,100
9701,0,100
9801,0,100
